amount,total,price,type
4.65002,34.93255000000004,43010.76,buy
0.03456,34.96711000000004,43010.75,buy
0.00158,34.96869000000004,43010.2,buy
0.0037,34.97239000000004,43010.07,buy
0.00064,34.97303000000004,43010.0,buy
0.00193,34.97496000000004,43008.77,buy
0.00276,34.97772000000004,43008.45,buy
0.00155,34.97927000000004,43008.38,buy
0.00046,34.97973000000004,43007.76,buy
0.00171,34.98144000000004,43007.68,buy
0.00232,34.98376000000004,43006.7,buy
0.00198,34.98574000000004,43005.1,buy
0.0101,34.995840000000044,43005.0,buy
0.00613,35.00197000000004,43004.96,buy
0.00232,35.00429000000004,43004.0,buy
0.00421,35.00850000000004,43003.81,buy
0.00087,35.00937000000004,43002.8,buy
0.12834,35.13771000000004,43001.16,buy
0.0025,35.14021000000004,43001.0,buy
0.0005,35.14071000000004,43000.5,buy
0.10012,35.24083000000004,43000.12,buy
0.15304,35.393870000000035,43000.0,buy
0.00926,35.40313000000003,42999.35,buy
0.41004,35.813170000000035,42998.5,buy
0.00028,35.81345000000003,42998.32,buy
0.0255,35.83895000000003,42997.94,buy
0.0013,35.84025000000003,42997.78,buy
0.00046,35.84071000000003,42997.4,buy
0.00026,35.84097000000003,42996.87,buy
0.0036,35.844570000000026,42994.54,buy
0.00026,35.84483000000002,42994.42,buy
0.00046,35.84529000000002,42993.97,buy
0.00046,35.84575000000002,42993.62,buy
0.00046,35.84621000000001,42993.17,buy
0.00052,35.846730000000015,42992.98,buy
0.00237,35.849100000000014,42992.59,buy
0.0004,35.84950000000001,42992.5,buy
0.0034,35.85290000000001,42991.76,buy
0.205,36.05790000000001,42991.43,buy
0.00129,36.05919000000001,42991.11,buy
0.0038,36.062990000000006,42990.9,buy
0.0101,36.07309000000001,42990.0,buy
0.00674,36.07983000000001,42989.19,buy
0.03456,36.11439000000001,42989.04,buy
0.00265,36.11704000000001,42988.0,buy
0.00046,36.11750000000001,42987.72,buy
0.00254,36.12004000000001,42987.68,buy
0.00046,36.12050000000001,42987.67,buy
0.00045,36.12095000000001,42987.23,buy
0.004,36.124950000000005,42987.16,buy
0.00276,36.12771000000001,42987.02,buy
0.00819,36.13590000000001,42987.0,buy
0.00078,36.136680000000005,42985.12,buy
0.00078,36.137460000000004,42984.69,buy
0.003,36.140460000000004,42983.98,buy
6.746,42.88646000000001,42983.65,buy
0.1,42.98646000000001,42982.84,buy
0.00049,42.98695000000001,42981.95,buy
0.00046,42.987410000000004,42981.26,buy
0.0007,42.988110000000006,42981.15,buy
0.19451,43.18262000000001,42981.11,buy
0.00418,43.186800000000005,42980.43,buy
0.00116,43.187960000000004,42980.17,buy
0.0506,43.23856000000001,42980.0,buy
0.00541,43.243970000000004,42979.83,buy
0.00113,43.24510000000001,42979.59,buy
0.00095,43.24605000000001,42979.5,buy
0.00046,43.24651000000001,42978.58,buy
0.0032,43.24971000000001,42978.56,buy
0.02071,43.27042000000001,42976.68,buy
0.00387,43.27429000000001,42975.79,buy
0.0101,43.28439000000001,42975.0,buy
0.00048,43.28487000000001,42974.71,buy
0.00025,43.28512000000001,42974.48,buy
0.00046,43.28558000000001,42974.02,buy
0.00057,43.28615000000001,42972.18,buy
0.00024,43.28639000000001,42971.42,buy
0.00028,43.28667000000001,42971.26,buy
0.00871,43.29538000000001,42970.93,buy
0.00046,43.295840000000005,42970.82,buy
0.00046,43.2963,42970.77,buy
0.00066,43.296960000000006,42970.21,buy
0.10642,43.403380000000006,42970.0,buy
0.01021,43.413590000000006,42969.32,buy
0.001,43.414590000000004,42967.88,buy
0.00362,43.41821,42967.75,buy
0.00125,43.41946,42967.74,buy
0.00221,43.42167,42967.2,buy
0.00193,43.4236,42965.91,buy
0.00277,43.42637,42965.61,buy
0.00235,43.42872,42965.0,buy
0.00129,43.430009999999996,42964.73,buy
0.00475,43.43476,42964.04,buy
0.00046,43.435219999999994,42964.0,buy
0.00087,43.43608999999999,42963.83,buy
0.00893,43.44501999999999,42963.77,buy
0.00254,43.447559999999996,42963.0,buy
0.00024,43.447799999999994,42962.38,buy
0.00068,43.448479999999996,42962.3,buy
0.00638,43.45486,42962.11,buy
0.00046,43.45531999999999,42960.34,buy
0.0005,43.455819999999996,42960.2,buy
0.07234,43.52815999999999,42960.0,buy
0.00046,43.52861999999999,42959.69,buy
0.00416,43.53277999999999,42959.18,buy
0.00136,43.53413999999999,42958.74,buy
0.0007,43.53483999999999,42958.62,buy
0.00229,43.53712999999999,42956.52,buy
0.00028,43.53740999999999,42955.93,buy
0.1729,43.710309999999986,42955.47,buy
0.00078,43.711089999999984,42955.1,buy
0.00241,43.71349999999998,42954.99,buy
0.0005,43.713999999999984,42952.95,buy
0.01112,43.72511999999998,42951.18,buy
0.0025,43.72761999999998,42951.0,buy
0.018,43.74561999999998,42950.09,buy
0.01979,43.76540999999998,42950.0,buy
